0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
ONLY CITIZEN-RESIDENTS RATES,ONLY CITIZEN-RESIDENTS RATES,ONLY CITIZEN-RESIDENTS RATES,ONLY CITIZEN-RESIDENTS RATES,ONLY CITIZEN-RESIDENTS RATES,ONLY CITIZEN-RESIDENTS RATES,ONLY CITIZEN-RESIDENTS RATES,ONLY CITIZEN-RESIDENTS RATES,ONLY CITIZEN-RESIDENTS RATES,ONLY CITIZEN-RESIDENTS RATES,ONLY CITIZEN-RESIDENTS RATES,ONLY CITIZEN-RESIDENTS RATES,ONLY CITIZEN-RESIDENTS RATES,ONLY CITIZEN-RESIDENTS RATES,ONLY CITIZEN-RESIDENTS RATES,ONLY CITIZEN-RESIDENTS RATES,ONLY CITIZEN-RESIDENTS RATES
CORRENCY: KES,CORRENCY: KES,CORRENCY: KES,CORRENCY: KES,CORRENCY: KES,CORRENCY: KES,CORRENCY: KES,CORRENCY: KES,CORRENCY: KES,CORRENCY: KES,CORRENCY: KES,CORRENCY: KES,CORRENCY: KES,CORRENCY: KES,CORRENCY: KES,CORRENCY: KES,CORRENCY: KES
NET RATES - SEASON 2024-2025 - TOUR OPERATOR,NET RATES - SEASON 2024-2025 - TOUR OPERATOR,NET RATES - SEASON 2024-2025 - TOUR OPERATOR,NET RATES - SEASON 2024-2025 - TOUR OPERATOR,NET RATES - SEASON 2024-2025 - TOUR OPERATOR,NET RATES - SEASON 2024-2025 - TOUR OPERATOR,NET RATES - SEASON 2024-2025 - TOUR OPERATOR,NET RATES - SEASON 2024-2025 - TOUR OPERATOR,NET RATES - SEASON 2024-2025 - TOUR OPERATOR,NET RATES - SEASON 2024-2025 - TOUR OPERATOR,NET RATES - SEASON 2024-2025 - TOUR OPERATOR,NET RATES - SEASON 2024-2025 - TOUR OPERATOR,NET RATES - SEASON 2024-2025 - TOUR OPERATOR,NET RATES - SEASON 2024-2025 - TOUR OPERATOR,NET RATES - SEASON 2024-2025 - TOUR OPERATOR,NET RATES - SEASON 2024-2025 - TOUR OPERATOR,NET RATES - SEASON 2024-2025 - TOUR OPERATOR
ROCK AND SEA - MIDA CREEK WATAMU,ROCK AND SEA - MIDA CREEK WATAMU,ROCK AND SEA - MIDA CREEK WATAMU,ROCK AND SEA - MIDA CREEK WATAMU,ROCK AND SEA - MIDA CREEK WATAMU,ROCK AND SEA - MIDA CREEK WATAMU,ROCK AND SEA - MIDA CREEK WATAMU,ROCK AND SEA - MIDA CREEK WATAMU,ROCK AND SEA - MIDA CREEK WATAMU,ROCK AND SEA - MIDA CREEK WATAMU,ROCK AND SEA - MIDA CREEK WATAMU,ROCK AND SEA - MIDA CREEK WATAMU,ROCK AND SEA - MIDA CREEK WATAMU,ROCK AND SEA - MIDA CREEK WATAMU,ROCK AND SEA - MIDA CREEK WATAMU,ROCK AND SEA - MIDA CREEK WATAMU,ROCK AND SEA - MIDA CREEK WATAMU
Hotel,,,,,,,,,Free Sale,,,,,,,
,Rock and Sea,Rock and Sea,Category,Luxury Ecolodge,Luxury Ecolodge,Contract for season Season,Contract for season Season,24-25,Modality,,,,,,,
Town,WATAMU Currency KES From 07/16/2024 Rates P.P .P .N. Half Board KENYA Child under 2 FREE To 07/15/2025 Full Board SUITE - PRICE PER PERSON ( ONLY 1 UNIT ) IMPERIAL BANDA - PRICE PER PERSON ( ONLY 1 UNIT ),WATAMU Currency KES From 07/16/2024 Rates P.P .P .N. Half Board KENYA Child under 2 FREE To 07/15/2025 Full Board SUITE - PRICE PER PERSON ( ONLY 1 UNIT ) IMPERIAL BANDA - PRICE PER PERSON ( ONLY 1 UNIT ),WATAMU Currency KES From 07/16/2024 Rates P.P .P .N. Half Board KENYA Child under 2 FREE To 07/15/2025 Full Board SUITE - PRICE PER PERSON ( ONLY 1 UNIT ) IMPERIAL BANDA - PRICE PER PERSON ( ONLY 1 UNIT ),WATAMU Currency KES From 07/16/2024 Rates P.P .P .N. Half Board KENYA Child under 2 FREE To 07/15/2025 Full Board SUITE - PRICE PER PERSON ( ONLY 1 UNIT ) IMPERIAL BANDA - PRICE PER PERSON ( ONLY 1 UNIT ),WATAMU Currency KES From 07/16/2024 Rates P.P .P .N. Half Board KENYA Child under 2 FREE To 07/15/2025 Full Board SUITE - PRICE PER PERSON ( ONLY 1 UNIT ) IMPERIAL BANDA - PRICE PER PERSON ( ONLY 1 UNIT ),WATAMU Currency KES From 07/16/2024 Rates P.P .P .N. Half Board KENYA Child under 2 FREE To 07/15/2025 Full Board SUITE - PRICE PER PERSON ( ONLY 1 UNIT ) IMPERIAL BANDA - PRICE PER PERSON ( ONLY 1 UNIT ),WATAMU Currency KES From 07/16/2024 Rates P.P .P .N. Half Board KENYA Child under 2 FREE To 07/15/2025 Full Board SUITE - PRICE PER PERSON ( ONLY 1 UNIT ) IMPERIAL BANDA - PRICE PER PERSON ( ONLY 1 UNIT ),WATAMU Currency KES From 07/16/2024 Rates P.P .P .N. Half Board KENYA Child under 2 FREE To 07/15/2025 Full Board SUITE - PRICE PER PERSON ( ONLY 1 UNIT ) IMPERIAL BANDA - PRICE PER PERSON ( ONLY 1 UNIT ),WATAMU Currency KES From 07/16/2024 Rates P.P .P .N. Half Board KENYA Child under 2 FREE To 07/15/2025 Full Board SUITE - PRICE PER PERSON ( ONLY 1 UNIT ) IMPERIAL BANDA - PRICE PER PERSON ( ONLY 1 UNIT ),WATAMU Currency KES From 07/16/2024 Rates P.P .P .N. Half Board KENYA Child under 2 FREE To 07/15/2025 Full Board SUITE - PRICE PER PERSON ( ONLY 1 UNIT ) IMPERIAL BANDA - PRICE PER PERSON ( ONLY 1 UNIT ),WATAMU Currency KES From 07/16/2024 Rates P.P .P .N. Half Board KENYA Child under 2 FREE To 07/15/2025 Full Board SUITE - PRICE PER PERSON ( ONLY 1 UNIT ) IMPERIAL BANDA - PRICE PER PERSON ( ONLY 1 UNIT ),WATAMU Currency KES From 07/16/2024 Rates P.P .P .N. Half Board KENYA Child under 2 FREE To 07/15/2025 Full Board SUITE - PRICE PER PERSON ( ONLY 1 UNIT ) IMPERIAL BANDA - PRICE PER PERSON ( ONLY 1 UNIT ),WATAMU Currency KES From 07/16/2024 Rates P.P .P .N. Half Board KENYA Child under 2 FREE To 07/15/2025 Full Board SUITE - PRICE PER PERSON ( ONLY 1 UNIT ) IMPERIAL BANDA - PRICE PER PERSON ( ONLY 1 UNIT ),WATAMU Currency KES From 07/16/2024 Rates P.P .P .N. Half Board KENYA Child under 2 FREE To 07/15/2025 Full Board SUITE - PRICE PER PERSON ( ONLY 1 UNIT ) IMPERIAL BANDA - PRICE PER PERSON ( ONLY 1 UNIT ),WATAMU Currency KES From 07/16/2024 Rates P.P .P .N. Half Board KENYA Child under 2 FREE To 07/15/2025 Full Board SUITE - PRICE PER PERSON ( ONLY 1 UNIT ) IMPERIAL BANDA - PRICE PER PERSON ( ONLY 1 UNIT ),WATAMU Currency KES From 07/16/2024 Rates P.P .P .N. Half Board KENYA Child under 2 FREE To 07/15/2025 Full Board SUITE - PRICE PER PERSON ( ONLY 1 UNIT ) IMPERIAL BANDA - PRICE PER PERSON ( ONLY 1 UNIT )
Date Valid,Date Valid,,PRICE,PRICE,PRICE,PRICE,Date Valid,Date Valid,,PRICE,PRICE,PRICE,PRICE,,,
From,To,SEASON,B/B,H/B,F/B,S.A.I.,From,To,SEASON,B/B,H/B,F/B,S.A.I.,,,
7/16/24,8/7/24,Period B,/,26000,29000,/,7/16/24,8/7/24,Period B,/,32000,35000,/,,,
8/8/24,8/21/24,Period C,/,28000,32000,/,8/8/24,8/21/24,Period C,/,35000,38000,/,,,
8/22/24,12/21/24,Period B,/,26000,29000,/,8/22/24,12/21/24,Period B,/,32000,35000,/,,,
12/22/24,1/7/25,Period D,/,38000,41000,/,12/22/24,1/7/25,Period D,/,44000,47000,/,,,
1/8/25,4/30/25,Period B,/,27000,30000,/,1/8/25,4/30/25,Period B,/,33000,36000,/,,,
5/1/25,7/15/25,Period A,/,22000,25000,/,5/1/25,7/15/25,Period A,/,28000,31000,/,,,
BUBBLE LODGES - PRICE PER PERSON ( 3 UNITS ),BUBBLE LODGES - PRICE PER PERSON ( 3 UNITS ),BUBBLE LODGES - PRICE PER PERSON ( 3 UNITS ),BUBBLE LODGES - PRICE PER PERSON ( 3 UNITS ),BUBBLE LODGES - PRICE PER PERSON ( 3 UNITS ),BUBBLE LODGES - PRICE PER PERSON ( 3 UNITS ),BUBBLE LODGES - PRICE PER PERSON ( 3 UNITS ),BUBBLE LODGES - PRICE PER PERSON ( 3 UNITS ),BUBBLE LODGES - PRICE PER PERSON ( 3 UNITS ),BUBBLE LODGES - PRICE PER PERSON ( 3 UNITS ),BUBBLE LODGES - PRICE PER PERSON ( 3 UNITS ),BUBBLE LODGES - PRICE PER PERSON ( 3 UNITS ),BUBBLE LODGES - PRICE PER PERSON ( 3 UNITS ),BUBBLE LODGES - PRICE PER PERSON ( 3 UNITS ),BUBBLE LODGES - PRICE PER PERSON ( 3 UNITS ),BUBBLE LODGES - PRICE PER PERSON ( 3 UNITS ),BUBBLE LODGES - PRICE PER PERSON ( 3 UNITS )
Date Valid,Date Valid,,PRICE,PRICE,PRICE,PRICE,,,,,,,,,,
From,To,SEASON,B/B,H/B,F/B,S.A.I.,,,,,,,,,,
7/16/24,8/7/24,Period B,/,26000,29000,/,,,,,,,,,,
8/8/24,8/21/24,Period C,/,28000,32000,/,,,,,,,,,,
8/22/24,12/21/24,Period B,/,26000,29000,/,,,,,,,,,,
12/22/24,1/7/25,Period D,/,38000,41000,/,,,,,,,,,,
1/8/25,4/30/25,Period B,/,27000,30000,/,,,,,,,,,,
5/1/25,7/15/25,Period A,/,22000,25000,/,,,,,,,,,,
Accepted by,Accepted by,Accepted by,Accepted by,Accepted by,Accepted by,Accepted by,Accepted by,Accepted by,Accepted by,Accepted by,Accepted by,Accepted by,Accepted by,Accepted by,Accepted by,
PEPO HURU LIFESTYLE LTD,PEPO HURU LIFESTYLE LTD,PEPO HURU LIFESTYLE LTD,PEPO HURU LIFESTYLE LTD,PEPO HURU LIFESTYLE LTD,PEPO HURU LIFESTYLE LTD,PEPO HURU LIFESTYLE LTD,TOUR OPERATOR,TOUR OPERATOR,TOUR OPERATOR,TOUR OPERATOR,TOUR OPERATOR,TOUR OPERATOR,TOUR OPERATOR,TOUR OPERATOR,TOUR OPERATOR,
Contact person posi*on,Contact person posi*on,Contact person posi*on,Contact person posi*on,Contact person posi*on,Contact person posi*on,Contact person posi*on,Contact person posi*on,Contact person posi*on,Contact person posi*on,Contact person posi*on,Contact person posi*on,Contact person posi*on,Contact person posi*on,Contact person posi*on,Contact person posi*on,
